三门峡市,78052
东营市,66400
临沂市,353383
临沧市,61900
丹东市,43458
乌兰察布市,29161
乐山市,93903
云浮市,113882
佛山市,304035
保山市,65902
信阳市,324139
六安市,132536
兰州市,119842
兴安盟,39491
内江市,91791
十堰市,112679
南宁市,322000
南充市,164262
南通市,176738
南阳市,447908
合肥市,293010
吕梁市,125864
周口市,434406
呼伦贝尔市,45243
呼和浩特市,68598
咸宁市,109451
商丘市,420357
嘉峪关市,9767
大同市,68626
大理白族自治州,101452
大连市,166158
天水市,105986
太原市,112007
威海市,73817
娄底市,132360
孝感市,122000
安庆市,117306
安阳市,246006
定西市,108791
宜宾市,153128
宜昌市,86212
宿州市,239025
宿迁市,209496
岳阳市,178067
巴中市,89742
巴彦淖尔市,40831
常州市,142060
常德市,147825
平凉市,69138
平顶山市,231450
广州市,498127
庆阳市,99708
开封市,216120
张家界市,48986
徐州市,319268
德宏傣族景颇族自治州,47528
德州市,155190
德阳市,89262
忻州市,72407
怀化市,159606
恩施土家族苗族自治州,103652
成都市,565180
扬州市,109546
抚顺市,39710
揭阳市,251614
攀枝花市,31738
文山壮族苗族自治州,123392
新乡市,269352
无锡市,199527
昆明市,231373
昭通市,152762
晋中市,106764
晋城市,53632
朔州市,39900
朝阳市,68774
本溪市,29322
株洲市,149083
梅州市,156837
楚雄彝族自治州,60331
武汉市,318026
永州市,217546
汕头市,184649
池州市,35632
沈阳市,175337
泰州市,112345
泸州市,136813
洛阳市,262703
济南市,221400
济宁市,314133
济源市,32345
淄博市,125093
淮北市,80218
淮南市,99196
淮安市,176301
深圳市,524193
清远市,173774
滁州市,109852
滨州市,101740
漯河市,98098
潍坊市,261095
濮阳市,175040
烟台市,163905
焦作市,139375
白银市,57786
益阳市,123474
盐城市,211594
眉山市,90301
绵阳市,144589
聊城市,154775
肇庆市,157943
自贡市,67971
芜湖市,99298
苏州市,352735
茂名市,312547
荆州市,142764
荆门市,65211
营口市,49944
葫芦岛市,64803
蚌埠市,136272
衡阳市,227425
襄阳市,180368
资阳市,71272
赤峰市,116420
辽阳市,33509
运城市,173285
连云港市,221260
通辽市,73636
遂宁市,94042
郑州市,397683
郴州市,169806
鄂尔多斯市,85144
鄂州市,29781
酒泉市,31485
铁岭市,50126
锡林郭勒盟,26302
锦州市,51948
镇江市,79727
长沙市,311300
长治市,98820
阜新市,36864
阜阳市,334834
阳泉市,29769
阿拉善盟,8077
雅安市,42019
青岛市,263890
鞍山市,73465
马鞍山市,55823
驻马店市,336781
鹤壁市,61076
黄冈市,207523
黄山市,37191
门头沟区,7509
房山区,31758
顺义区,29234
昌平区,32959
大兴区,35620
怀柔区,10431
平谷区,12140
密云区,13010
延庆县,7350
涪陵区,29900
渝北区,65100
南川区,17936
潼南区,25000
开州区,45100
巫山县,17594
